"","X","Ind","TimePoint","Treatment","Tank","Temp","Mass","MR.mass","MR.abs","ln_Mass","ln_MR.mass","ln_MR.abs","Mass_Corrected","residuals"
"1",1,"BT_1","20","15",1,15.1585999995652,5.4,156.566774664783,0.845460583173913,1.68639895357023,5.05348259415457,-0.167873731276161,129.352382889512,-0.0534867079214338
"2",2,"BT_2","20","15",1,15.1763333327273,5.5,139.414900903636,0.766781955045455,1.70474809223843,4.93745438575319,-0.26555280089212,115.452687250031,-0.102857095577354
"3",3,"BT_3","20","15",1,15.1589797095652,7.7,166.68704376087,1.283490237,2.04122032885964,5.11611806484584,0.249583114755524,144.112311596242,-0.00656005706406404
"4",4,"BT_4","20","15",1,15.1589378781818,5.1,119.420645844545,0.609045293909091,1.62924053973028,4.78265209928163,-0.495862639802906,97.9437719744639,-0.174284316092687
"5",5,"BT_5","20","15",1,14.8730901522727,4.5,214.427463159091,0.964923584318182,1.50407739677627,5.3679715140862,-0.0357063680136705,173.06929979774,0.0729588951304905
"6",6,"BT_6","20","15",1,14.884195455,3.6,257.234179518182,0.926043046318182,1.28093384546206,5.54998687435145,-0.0768345591116805,201.77335788918,0.139602680050291
"7",7,"BT_7","20","15",1,14.8846530313636,4.7,198.536395918182,0.933121060681818,1.54756250871601,5.29097243807136,-0.0692203323379757,161.137672690838,0.0419359453581252
"8",8,"BT_8","20","15",1,14.8094174240909,5.7,201.894462636364,1.150798437,1.7404661748405,5.30774509867406,0.140455994508723,167.95959412816,0.0599436750150177
"9",9,"BT_1","20","15",2,15.1016303036364,3.6,168.807951790909,0.6077086265,1.28093384546206,5.12876168881837,-0.498059744614939,132.412214174046,-0.0385990837338559
"10",10,"BT_2","20","15",2,15.1356304352174,5.5,179.881778469565,0.989349781608696,1.70474809223843,5.19229984883142,-0.0107073378859212,148.964239668906,0.0125548927071493
"11",11,"BT_3","20","15",2,15.1514927534783,4.8,169.350186534783,0.812880895391304,1.56861591791385,5.13196868073812,-0.207170680300216,137.820234650093,-0.021214146553735
"12",12,"BT_4","20","15",2,15.0852913043478,6.5,167.387516895652,1.08801885995652,1.87180217690159,5.12031158475904,0.0843584828023717,141.613417578773,-0.00942272774625907
"13",13,"BT_5","20","15",2,14.7565072456522,8.2,176.718751721739,1.44909376408696,2.10413415427021,5.17455949549332,0.370938370759783,154.020750604293,0.0270521039952478
"14",14,"BT_6","20","15",2,14.8061841271429,5,202.442660433333,1.01221330214286,1.6094379124341,5.31045668809579,0.0121393215242295,165.614601465936,0.0585714922985394
"15",15,"BT_7","20","15",2,14.8722413034783,7.4,176.652158256522,1.30722597108696,2.00148000021012,5.17418259142948,0.267907312648821,151.952914789662,0.021181903660568
"16",16,"BT_8","20","15",2,14.8194840573913,8.3,155.660798856522,1.29198463069565,2.11625551480255,5.04767927357847,0.256179509543256,135.878166510302,-0.0273774535260056
"17",17,"BT_1","98","15",1,14.0136128472222,25.9,100.676577392895,2.60752335447599,3.25424296870549,4.61191317478359,0.958400864506942,101.662138241272,-0.0891852715320476
"18",18,"BT_2","98","15",1,14.0267239583333,32.5,120.533444848716,3.91733695758327,3.48124008933569,4.79192726503241,1.36541207538597,125.301729759097,0.00161255493074952
"19",19,"BT_3","98","15",1,14.0588194444444,23.7,124.41810672842,2.94870912946356,3.16547504814109,4.82364772219261,1.08136749135156,124.216647534238,-0.00216470747713382
"20",20,"BT_4","98","15",1,14.1500069444444,40,136.878683621861,5.47514734487443,3.68887945411394,4.91909501251447,1.70021918764627,146.126144620471,0.0683834146229554
"21",21,"BT_5","98","15",1,14.4331737588653,20.9,113.483405330689,2.37180317141141,3.03974915897077,4.73165661769176,0.863650497680392,111.490923089826,-0.0491050002131139
"22",22,"BT_6","98","15",1,14.3053611111111,49.8,117.861436395426,5.86949953249222,3.90801498403061,4.76950966663761,1.76976937168608,129.403347984535,0.0156010013183092
"23",23,"BT_7","98","15",1,14.3987881944444,31.2,106.993872278453,3.33820881508772,3.44041809481544,4.67277156439633,1.20543438022963,110.646866913914,-0.0524053905137514
"24",24,"BT_8","98","15",1,14.3986336805556,37.6,121.735118288774,4.5772404476579,3.62700405039585,4.80184752277741,1.52109629419112,128.934266375324,0.0140238420739047
"25",25,"BT_1","98","15",2,14.529406462585,47.7,114.862814485324,5.47895625094993,3.8649313978943,4.74373849875185,1.70091461766401,125.41752709914,0.00674773188876188
"26",26,"BT_2","98","15",2,14.5231326530612,35.9,131.287484008842,4.71322067591744,3.58073729549423,4.8773894531463,1.55037146965839,138.230488336151,0.0489933407842589
"27",27,"BT_3","98","15",2,14.509975177305,41.5,110.134258909055,4.57057174472577,3.72569342723665,4.7017001570813,1.51963830533582,118.130221268026,-0.0192494840651078
"28",28,"BT_4","98","15",2,14.5662670068027,22.7,131.171510305536,2.97759328393566,3.12236492448736,4.87650570586869,1.09111535137391,130.23846112309,0.0231287545208931
"29",29,"BT_5","98","15",2,14.8288673469388,44.2,118.748384898482,5.24867861251289,3.78872478908365,4.77700684196737,1.65797635206888,128.401527197974,0.016959687728872
"30",30,"BT_6","98","15",2,14.9178829787234,25.2,112.428839565659,2.83320675705461,3.22684399451738,4.72232048431428,1.04140919984952,113.131989516515,-0.0380250768918979
"31",31,"BT_7","98","15",2,14.83475,33.4,111.66665852835,3.72966639484687,3.50855589998265,4.7155181702765,1.31631879127702,116.49076456632,-0.0253190058108341
"32",32,"BT_8","98","15",2,14.8487840136054,41.8,138.285014253627,5.78031359580162,3.73289633953071,4.92931687599294,1.75445793654152,148.461590912378,0.0800036086351961
"33",33,"BT_1","190","15",1,14.7916631299735,204.9,123.473324632268,25.2996842171516,5.32252205524485,4.81602513785735,3.23079191412007,162.472154669869,0.0323155717614481
"34",34,"BT_2","190","15",1,14.7016461538462,117.5,149.239780022825,17.5356741526819,4.76643833358421,5.00555427436919,2.86423732897127,182.88491063199,0.083714506158866
"35",35,"BT_3","190","15",1,14.8185336538461,209.8,118.716775687274,24.90677953919,5.3461546959622,4.77674062008188,3.21514003706194,156.686515304699,0.0165682537257399
"36",36,"BT_4","190","15",1,14.8216153846154,159.9,123.04798382522,19.6753726136528,5.07454861983991,4.81257439169853,2.9793677325563,156.853976304811,0.0170321644303826
"37",37,"BT_5","190","15",1,14.4313912087912,207.2,119.990945241095,24.862123853955,5.33368451038533,4.78741628361087,3.21334551501406,158.115625321584,0.0205114216906388
"38",38,"BT_6","190","15",1,14.5075538461538,140.2,126.881614786466,17.7888023930626,4.94306997460049,4.84325448468501,2.87856918030337,159.041649063436,0.023047501903898
"39",39,"BT_1","190","15",2,14.835341796875,172.2,95.2303489127648,16.3986660827781,5.14865659199363,4.5562986820947,2.7971999951062,122.550770373294,-0.0854133126933108
"40",40,"BT_2","190","15",2,14.7733422619048,122.2,113.1069223128,13.8216659066242,4.8056590467375,4.72833358649049,2.62623735424585,139.303724091438,-0.0297666314944887
"41",41,"BT_3","190","15",2,14.856125,95.3,154.507069569278,14.7245237299522,4.55702981066016,5.0402398530209,2.68951438469892,184.331974103321,0.0918713158563835
"42",42,"BT_4","190","15",2,14.847025,124,107.557500616532,13.33713007645,4.82028156560504,4.67802559402146,2.59055188064436,132.717167628413,-0.050802253674691
"43",43,"BT_5","190","15",2,14.4959964285714,221,99.6567620539687,22.0241444139271,5.39816270151775,4.60173190239939,3.092139324935,132.408971062077,-0.0518119476192549
"44",44,"BT_6","190","15",2,14.5177395833333,176.8,98.9592993275677,17.496004121114,5.17501915020354,4.5947086476991,2.8619725189205,127.779966014514,-0.0672665900456231
"45",45,"BT_1","20","20",1,19.7494666666667,6,173.169953170922,1.03901971902553,1.79175946922805,5.15427350054144,0.0382776907873622,136.809520118448,-0.0455206722576649
"46",46,"BT_2","20","20",1,19.9486485507246,7,184.498368539665,1.29148857977766,1.94591014905531,5.21764062083805,0.255795490911222,149.629513695524,-0.00661972734154759
"47",47,"BT_3","20","20",1,19.8932115942029,6.3,207.805081273285,1.3091720120217,1.84054963339749,5.33660053107687,0.269394885492222,165.539684690166,0.0372651318475667
"48",48,"BT_4","20","20",1,19.7312391304348,3.8,188.184391137307,0.715100686321767,1.33500106673234,5.2374222860779,-0.335331926171895,137.564025865702,-0.0431321146625865
"49",49,"BT_5","20","20",1,19.5294028985507,4.6,192.287227589898,0.884521246913533,1.52605630349505,5.25899023119959,-0.122708744287502,145.20358421462,-0.0196596551492374
"50",50,"BT_6","20","20",1,19.4996623188406,6.7,181.175053880047,1.21387286099632,1.90210752639692,5.19946371238759,0.19381595980237,145.844206884112,-0.0177478087229259
"51",51,"BT_7","20","20",1,19.5202956521739,4.9,216.648638207134,1.06157832721496,1.58923520511658,5.37827686248481,0.059756788619254,165.366435266228,0.0368103728017424
"52",52,"BT_8","20","20",1,19.5307297101449,6.8,225.644349085133,1.5343815737789,1.91692261218206,5.4189600831282,0.428127416328125,182.099622039381,0.078672052588435
"53",53,"BT_1","20","20",2,19.7881492753623,6.6,207.931677776445,1.37234907332454,1.88706964903238,5.33720955351387,0.316523923564114,166.955678304082,0.0456982124978649
"54",54,"BT_3","20","20",2,19.7707637681159,4.9,158.419890096543,0.776257461473062,1.58923520511658,5.06524904028853,-0.253271033577023,120.920827000473,-0.0944018731287461
"55",55,"BT_4","20","20",2,19.8006028985507,5.2,194.721456451914,1.01255157354995,1.64865862558738,5.27157010893553,0.0124734555407785,150.138628793634,-0.000410536701902053
"56",56,"BT_5","20","20",2,19.5438369565217,5.3,185.977833351967,0.985682516765423,1.66770682055808,5.22562749108417,-0.0144209673398882,143.862018385182,-0.0189568327047196
"57",57,"BT_7","20","20",2,19.4541891304348,7,187.238619321182,1.31067033524827,1.94591014905531,5.23238384255925,0.270538712632428,151.851876934222,0.00451718242899624
"58",58,"BT_8","20","20",2,19.4679847826087,8.7,197.38443823358,1.71724461263214,2.16332302566054,5.28515329022204,0.540721036900436,166.107503227215,0.0434862685047666
"59",59,"BT_1","98","20",1,18.8097413194444,17.4,179.508299541955,3.12344441203001,2.85647020622048,5.19022144386197,1.13893637110032,169.955793140759,0.0135606668195574
"60",60,"BT_2","98","20",1,18.671171875,26.7,143.630691635183,3.83493946665939,3.2846635654062,4.96724536382713,1.3441536502512,146.255509019535,-0.0516630721120555
"61",61,"BT_3","98","20",1,18.8257204861111,32.3,170.289132229616,5.50033897101659,3.47506723022861,5.13749777018676,1.70480972143323,179.105708764667,0.0363341228649912
"62",62,"BT_4","98","20",1,18.7600503472222,22.4,151.567074879576,3.39510247730251,3.10906095886099,5.02102826544871,1.22233394532757,149.797684310322,-0.0412702060322276
"63",63,"BT_5","98","20",1,19.2696944444444,38.6,178.561649557114,6.8924796729046,3.65325227647079,5.18493391726135,1.93043091475,193.582501942122,0.0700907927801486
"64",64,"BT_6","98","20",1,19.11253125,20,156.20505231535,3.124101046307,2.99573227355399,5.05116958205118,1.13914657662304,151.435690930041,-0.0365470624084052
"65",65,"BT_7","98","20",1,18.9030104166667,15.2,189.895568961967,2.88641264822189,2.72129542785223,5.24647428401239,1.06001443288249,175.705885261464,0.0280110026308424
"66",66,"BT_8","98","20",1,18.8391006944444,21.7,169.338428586278,3.67464390032222,3.07731226054641,5.13189924853412,1.30145623009839,166.460711863557,0.00453644176239631
"67",67,"BT_1","98","20",2,19.2832378472222,18.4,179.10164791117,3.29547032156554,2.91235066461494,5.18795351009173,1.19254889572453,171.189324871721,0.0214353833329444
"68",68,"BT_2","98","20",2,19.3729305555555,26.8,170.44731050163,4.56798792144368,3.28840188751681,5.13842621964822,1.51907282818289,173.67253173335,0.0276898394629814
"69",69,"BT_3","98","20",2,19.4253307291667,16.4,155.493864435785,2.55009937674687,2.79728133483015,5.04660627383624,0.936132329684257,145.745373894486,-0.048446517148601
"70",70,"BT_4","98","20",2,19.3562638888889,27.7,152.421846399556,4.2220851452677,3.32143241319329,5.0266519820575,1.44032911626866,156.180513525652,-0.0184144493855491
"71",71,"BT_5","98","20",2,19.5522673611111,28.5,155.267273420343,4.42511729247977,3.3499040872746,5.04514797659122,1.48729678488368,159.86802888173,-0.00827967556175224
"72",72,"BT_6","98","20",2,19.7708353174603,16.9,153.610406052225,2.5960158622826,2.82731362192903,5.03441956615464,0.953977909101526,144.716964495321,-0.0515218514310747
"73",73,"BT_7","98","20",2,19.63165625,26.8,171.538038206865,4.59721942394398,3.28840188751681,5.14480503913723,1.5254516476719,174.783898298433,0.0304601255681138
"74",74,"BT_8","98","20",2,19.7056325757576,10.8,197.253922800265,2.13034236624286,2.37954613413017,5.28449184698205,0.756282702130084,172.212929563855,0.0240244588576863
"75",75,"BT_1","190","20",1,19.60885,96.3,115.399933169934,11.1130135642646,4.56746831880408,4.74840377495714,2.40811681477908,146.143698376227,-0.0113974601901914
"76",76,"BT_2","190","20",1,19.59395,104.4,103.794610459011,10.8361573319208,4.64822967544854,4.64241404702358,2.38288844348998,133.263727158607,-0.0514655982080763
"77",77,"BT_3","190","20",1,19.5243523809524,94.1,147.168869733993,13.8485906419687,4.54435804659133,4.99158070114376,2.62818346875296,185.645427943693,0.0925067041503165
"78",78,"BT_4","190","20",1,19.54548125,118.4,96.8803256169228,11.4706305530437,4.7740687224499,4.57347646027266,2.43978990374043,127.075973871225,-0.0721141070972124
"79",79,"BT_5","190","20",1,19.5000875,96.1,142.987920982429,13.7411392064114,4.56538931597625,4.96276015803789,2.620394195032,181.017430135374,0.0815428412349979
"80",80,"BT_6","190","20",1,19.5168728571429,141.3,124.318375915747,17.5661865168951,4.95088528969048,4.82284582279323,2.86597583350158,168.04189209155,0.0492400091096847
"81",81,"BT_1","190","20",2,19.3832416666667,161.2,109.949949381959,17.7239318403718,5.08264583007253,4.7000252566274,2.87491580771779,151.98655024572,0.0103616137466616
"82",82,"BT_3","190","20",2,19.4617625,108.1,95.7520662983982,10.3507983668569,4.68305672464516,4.56176220796784,2.33706365363086,123.667787238186,-0.0791869537349847
"83",83,"BT_4","190","20",2,19.45465,113.9,93.1499306316437,10.6097770989442,4.73532087045314,4.53421035235214,2.36177594382314,121.380699622674,-0.0872939074736938
"84",84,"BT_5","190","20",2,19.5447,90.5,137.234563881245,12.4197280312527,4.50534985070588,4.92169160689712,2.51928617862087,171.969659927424,0.064008288587579
"85",85,"BT_6","190","20",2,19.6171693548387,116.6,114.431421442336,13.3427037401764,4.75874927391639,4.73997570419022,2.59096969912447,149.707002126226,0.00379856987492655
