"","Ind","TimePoint","Treatment","Replicate","Mass_Corrected.x","Mass_Corrected.y","FAS"
"1","BT_1","190","15",1,160.405252147458,684.685773174884,4.26847477877758
"2","BT_1","190","15",2,120.991730937136,652.686733746758,5.39447389248341
"3","BT_1","190","20",1,148.835076753629,372.4789659385,2.50262891022037
"4","BT_1","190","20",2,154.785530424354,577.860933666939,3.73330072961405
"5","BT_1","20","15",1,127.706816195223,620.515755566784,4.85890866324795
"6","BT_1","20","15",2,130.727721591114,684.655639477208,5.23726437777789
"7","BT_1","20","20",2,170.030329538207,596.639377131376,3.50901735444385
"8","BT_1","98","15",1,100.36883521103,547.197504881476,5.45186664496974
"9","BT_1","98","20",1,173.08569440818,513.886277953253,2.96897025320521
"10","BT_1","98","20",2,174.341942825974,526.167475014538,3.01802002711277
"11","BT_2","190","15",1,180.558325600455,1054.1260417814,5.8381469714889
"12","BT_2","190","15",2,137.531560613389,547.049515948243,3.97762894210178
"13","BT_2","190","20",1,135.717908336117,812.590973902302,5.98735261885889
"14","BT_2","20","15",1,113.983946646565,593.07763458643,5.20316809546358
"15","BT_2","20","15",2,147.069179168562,620.56043492863,4.21951382632918
"16","BT_2","20","20",1,152.385086753109,600.784357177754,3.94254037569393
"17","BT_2","98","15",1,123.707693772883,402.494263904457,3.25359120058776
"18","BT_2","98","15",2,136.471978112682,1028.9029068253,7.53929796471303
"19","BT_2","98","20",1,148.948946498705,601.003679673827,4.03496428676688
"20","BT_2","98","20",2,176.870880357677,459.366494211502,2.59718554734701
"21","BT_3","190","15",1,154.693215256644,693.245799023971,4.48142342813057
"22","BT_3","190","15",2,181.98698013799,823.793312539697,4.52666070899721
"23","BT_3","190","20",1,189.064269099231,800.440879318915,4.23369726671516
"24","BT_3","190","20",2,125.94524984692,647.928960378819,5.14452876282625
"25","BT_3","20","15",1,142.278975287298,641.555172101574,4.50913545593163
"26","BT_3","20","15",2,136.066943501734,731.313926056091,5.37466270084014
"27","BT_3","20","20",1,168.588259024382,462.131057033805,2.74118173891914
"28","BT_3","20","20",2,123.147701664126,682.987093339462,5.54608071535305
"29","BT_3","98","15",1,122.636415508414,535.333601121164,4.36520913385987
"30","BT_3","98","15",2,116.6274182012,435.359020874273,3.73290455699889
"31","BT_3","98","20",1,182.404114629541,449.703453067366,2.46542384189471
"32","BT_3","98","20",2,148.429416739058,537.513417744075,3.62134022724778
"33","BT_4","190","15",1,154.858545888238,707.356705020026,4.56776021602663
"34","BT_4","190","15",2,131.028795555698,583.895809339144,4.45624037726074
"35","BT_4","190","20",1,129.416201552366,575.726552464917,4.44864356671727
"36","BT_4","190","20",2,123.616043288039,624.265194839655,5.05003378392436
"37","BT_4","20","15",1,96.6977724383602,612.062739771218,6.32964673680954
"38","BT_4","20","15",2,139.811871150122,570.850234367543,4.08298830186312
"39","BT_4","20","20",1,140.097401227329,703.209827360211,5.01943520150776
"40","BT_4","20","20",2,152.903577701028,657.039225020377,4.29708208858973
"41","BT_4","98","15",1,144.267189173491,474.344761647174,3.28796009934555
"42","BT_4","98","15",2,128.581622113617,734.259973640569,5.71045816323395
"43","BT_4","98","20",1,152.556354393379,434.781253654163,2.84997144421166
"44","BT_4","98","20",2,159.056729618066,463.248192571885,2.91247150425045
"45","BT_5","190","15",1,156.104144736042,527.659847365644,3.38017833067706
"46","BT_5","190","15",2,130.724519736654,619.667043398234,4.74025106113652
"47","BT_5","190","20",1,184.351042209054,668.241481294512,3.62483158916307
"48","BT_5","190","20",2,175.136648510855,688.048929258502,3.92864049363065
"49","BT_5","20","15",1,170.867584845226,732.994708147033,4.28984063191968
"50","BT_5","20","15",2,152.061363295283,644.876059998091,4.24089358416329
"51","BT_5","20","20",1,147.877649475172,637.382934706293,4.31020466560302
"52","BT_5","20","20",2,146.51137740588,896.026865162328,6.11574937747029
"53","BT_5","98","15",1,110.072582386285,441.615924827946,4.01204291980862
"54","BT_5","98","15",2,126.768056890486,375.982281533315,2.96590711221617
"55","BT_5","98","20",1,197.147512036701,515.261020903179,2.61358114834976
"56","BT_5","98","20",2,162.812154156721,436.331076063314,2.67996623669327
"57","BT_6","190","15",1,157.018387992729,714.65211281238,4.55139122206168
"58","BT_6","190","15",2,126.154402947381,833.06307630832,6.60351963027238
"59","BT_6","190","20",1,171.136547009264,765.094281638321,4.47066564687031
"60","BT_6","190","20",2,152.464002208644,435.968199279386,2.85948284817271
"61","BT_6","20","15",1,199.20648196374,823.982706470372,4.1363247739115
"62","BT_6","20","15",2,163.507722055039,768.892076129009,4.70248173275992
"63","BT_6","20","20",1,148.530069834334,725.686078445018,4.88578561401354
"64","BT_6","98","15",1,127.75713293371,368.66833176126,2.88569665971256
"65","BT_6","98","15",2,111.692771855051,436.792514462941,3.910660530744
"66","BT_6","98","20",1,154.224526498488,525.697690700314,3.40865167581154
"67","BT_6","98","20",2,147.382068180348,461.541279842087,3.13159725291213
"68","BT_7","20","15",1,159.087746887756,567.90112289884,3.56973515565293
"69","BT_7","20","15",2,150.019833619509,462.393255184347,3.08221415814325
"70","BT_7","20","20",1,168.41181904376,522.794442177036,3.10426218982406
"71","BT_7","20","20",2,154.648376972811,294.270372706874,1.90283518305925
"72","BT_7","98","15",1,109.239263938587,470.108542264932,4.30347592353993
"73","BT_7","98","15",2,115.008817979171,418.512550690522,3.63896054271523
"74","BT_7","98","20",1,178.941680069103,484.543277139825,2.70782791886555
"75","BT_7","98","20",2,178.002713819219,441.749195120013,2.48169921481455
"76","BT_8","20","15",1,165.822882705381,546.006836648203,3.29271104047985
"77","BT_8","20","15",2,134.149581537257,666.71212652069,4.96991581248822
"78","BT_8","20","20",1,185.453163729754,693.260589701484,3.73819769778486
"79","BT_8","20","20",2,169.166534492177,598.043655886097,3.53523619598506
"80","BT_8","98","15",1,127.294018783742,475.492041844603,3.73538400615986
"81","BT_8","98","15",2,146.57292489843,407.318396927783,2.77894704775825
"82","BT_8","98","20",1,169.526247809166,452.451929864665,2.66891962579143
"83","BT_8","98","20",2,175.384398194298,573.56094462131,3.27030768145006
